bms_search_id,name,short_name,release_year,url
hU2t37Qw-dYw-E,Korea Be Music Script Party,Korea Be Music Script Party,2007,
Z3eBpuIh3m_eGM,Re-3,Re-3,2007,https://web.archive.org/web/*/http://www.re-3.com/
bhF-7uIhBHD13U,Re-Final,Re-Final,2007,https://web.archive.org/web/20070514164853/http://www.re-3.com/event/refinalhtml/info_final.html
qpfcWF37U8e30P,Toy Musical 2,Toy Musical 2,2007,http://tm2.toymusical.net/index.html
2Zg1xbhkbFhRVA,Wire Puller,Wire Puller,2007,http://wirepuller.xxxxxxxx.jp/
HIPxH8LBd1JjRK,☆-1 GRANDPRIX,☆-1 GRANDPRIX,2007,http://www.likeside.net/event/hoshi_one_gp/home.html
auleoG7c_Asqrn,戦 [sen-goku] 國 〜夏の陣〜,戦國 ～夏の陣～,2007,http://sengoku.s287.xrea.com/
Y-osAdOHt5Fv2E,東方音弾遊戯2,東方音弾遊戯2,2007,http://tohotodan2.iza-yoi.net/
ZgcRLwIJLjl9gv,第6回自称無名BMS作家が物申す！,無名戦6,2007,
hAsTjhNvMIk68M,24時間BMS ～愛はBMSを救う～,24時間BMS,2008,
50AyAHbUI271qQ,A-1 ClimaX “the supersonic”,A-1 ClimaX,2008,http://www.qumarich.net/a-1/
QLV6rQrgQ_nNnq,BGA BATTLE,BGA BATTLE,2008,https://manbow.nothing.sh/event/event.cgi?action=List_def&event=49
gPHL3rZa-GhgTh,BMS OF FOON 2008,BOFOON 2008,2008,http://manbow.nothing.sh/event/event.cgi?action=List_def&event=56
NSmo-E0kkAbKQ7,BMS mini Package -KOBAKO-,BMS mini Package -KOBAKO-,2008,http://web.archive.org/web/20081028154434/http://page.freett.com:80/nitrix/kobako/
TwClUr-_ROJXuO,BMS同窓会(仮),BMS同窓会(仮),2008,https://web.archive.org/web/20210207160205/http://bit192.ddns.net/temp/newevent/
F1dGrsQRAv_fed,Battle of the Soul Vol. 1: Show Me Your Harmony,Battle of the Soul Vol. 1: Show Me Your Harmony,2008,https://blog.naver.com/bots3034
gAXXshSvB7YNQk,Foot Pedal Package Project,Foot Pedal Package Project,2008,http://yukisite.com/johnny/fppp/index.html
mEDLjrfQJ0I6KI,Foot Pedal Party,Foot Pedal Party,2008,http://yukisite.com/johnny/fpp/
9FBp1F3Xp_l-cq,MAXBEAT,MAXBEAT,2008,http://scytheleg.sakura.ne.jp/tempyou/event/maxbeat/
7DgNz12lKW39gv,THE BMS OF FIGHTERS 2008 - Resurrection -,BOF2008,2008,http://www.bmsoffighters.net/bof2008/index.html
LId4p8QULtomhr,experimentation,experimentation,2008,http://manbow.nothing.sh/event/event.cgi?action=List_def&event=57
sPkFtwkjjOAXaN,labels,labels,2008,
F5BGTYzVYyPtLw,plugout3 疾風迅雷,plugout3 疾風迅雷,2008,
AusgDFpv8WsZsE,B2DUEL,B2DUEL,2009,
U42t3PR5GSz8ys,BEAT VOCALOIDs,BEAT VOCALOIDs,2009,https://web.archive.org/web/20131019043042/http://music.geocities.jp/beat_vocaloids/
oGtit5wRlI7kgw,BGA BATTLE 2,BGA BATTLE 2,2009,
t-6322OuNKSSJr,BMS Battle Regulation A,BMS Battle Regulation A,2009,
Vks01dA3YzWlA3,BMS Festival 09' Winter,BMS Festival 09' Winter,2009,https://extrose.stoicsounds.jp/_bidc/_event/ev05_info.html
